naive_did,abadie_lgbm_result,dmldid_lgbm_result
9.752981420380802,6.303018464438527,2.5885911887088087
9.864200498152613,6.096701750768388,2.3385556940319425
9.505920095034408,6.209257646280557,2.6332480524062234
9.535327943208024,6.213738281461929,2.5128835118669848
9.237445808060325,6.25628338596916,2.3051309020039197
9.178309100229628,6.083154349560031,2.68533798251754
9.176599153289072,6.09727747108898,2.2394864866247337
9.248874697115745,6.144433365982561,2.1368548955110813
9.049104262502777,5.965156123323119,2.7907874080604738
9.76931336163468,6.344314662311068,2.252541659495945
8.98735277144897,5.799624011401565,2.478524063746389
9.564665829995972,6.170441318571713,2.6800541326717346
9.566527564733668,6.1446376414287425,2.745667508805369
9.402567478761199,6.074636971888777,2.404759820854139
9.772088817027324,6.261492473233236,2.357001896683391
9.707406616242418,6.1500062036967424,2.7508809384180313
9.914321001741971,6.266937855379563,2.5858709058511042
9.575727334425785,6.309378025438804,2.4061507504993997
9.671771227587385,6.256897944486247,1.7282316578878918
9.596265643930675,6.247969641041215,2.1820353766205844
9.562938038853037,6.24204544895289,2.351402739673386
9.199038477629003,6.238077270556884,2.161630870184763
9.256378801160464,6.08979046803805,2.072333565169318
10.132463782858114,6.4513348873123295,2.505661022506672
9.493234333419743,6.212527778154201,2.70370693066229
9.860886030340069,6.742028957615362,2.752607793763284
9.237954796178602,6.049718467014036,2.022824722424384
9.77082767789,6.226708042520764,2.3958600680177837
9.213615260581893,5.9542445187971325,2.709047346608383
9.889470640909948,6.440182610870713,2.1249113448022796
9.710576940614004,6.328234468949214,2.3054224147229103
9.807161004803955,6.450519660398288,2.516951602836067
9.716509784074017,6.4918882784609835,2.442471878462988
9.727711920457779,6.166381819213635,2.698676114665999
9.289605857820737,6.094060323837105,2.3432662418918047
9.663661546059789,6.3085666888727925,2.391668671064676
9.375650590597646,6.418996743071766,2.7336714995808027
9.624082315920216,6.037903271028711,2.379462186351444
9.1049237489085,6.038115628291103,2.182980458053682
9.284255026325102,5.91947210454928,2.7777854306944754
9.860791557132867,6.686925302820263,2.155492283516285
9.701997459770265,6.4201299561345335,2.4615258477065214
9.329835259018374,6.00881872370625,1.8416338538860066
9.878566045528338,6.372068510033199,2.0421816217151143
9.32466198535213,5.8005891162651135,2.1611289447947692
9.47212708029403,6.011212726028411,2.4626678137788676
9.314337008342068,6.18572926945012,2.073346479811066
9.830569363468491,6.507550664922465,2.2325647847636976
9.423949484921494,6.322601248884202,1.7141235149843608
9.955530999892606,6.447648040640062,2.162450352543237
9.26920724788954,5.997598801254542,2.304370502763308
9.528162720980415,6.042444717625085,2.438833654851268
10.00518978987634,6.34227699279955,2.6073007932609764
9.599576188280125,6.307657868475308,1.9333969160202922
9.44134994241232,5.965415305544214,2.447595316222249
10.12033444584496,6.344067959530504,2.2806295484176955
9.313691277664851,6.137667910309174,2.2580305222405226
9.462408156621247,6.273410080456034,2.3638391412464252
9.485184549468537,6.142373520934825,2.2732123577976577
9.675799639851814,6.057638057656695,1.8791382742007086
9.271339291677036,6.025432878318488,2.5424516400433994
9.659967709970296,6.496862960188862,2.2227057814117233
9.634309102629597,6.14191324989869,2.4711922789188954
9.847500936547174,6.064962970149178,2.2940950267046443
9.441405630672502,5.914945981988582,2.278305058898626
9.727336801872383,6.293703677474922,2.375733931943817
9.679388383874556,6.303551012472657,2.281688682380424
9.758896782166854,6.399261621334937,2.1380768572585223
9.841569958110476,6.4584769009367085,2.5864994295198107
9.815949209286995,6.169823483275374,2.549097737232317
9.630912102624778,5.977797492950911,2.5646711575020182
9.867607448632654,6.4291121619118,2.1854988314021915
9.411763969316043,6.152447785832951,2.3682379394906983
9.681173409425188,6.349772818915947,2.430637065948493
10.112982612697119,6.376468661367041,1.6693250364795609
9.579344290371505,6.372460948303516,2.736565415687543
9.663876814838869,6.042038063988123,2.0407339032878475
9.628724336956376,6.204793385363864,2.4908963851881785
9.464611353341272,6.061261917073885,2.403506434862919
9.24280917924088,5.837086121915304,2.474276042200747
9.39962791679115,6.295657996331961,2.4119928651470666
9.980960885060808,6.4513827643810915,2.21907666630704
9.720018107738092,6.287375392416591,2.5878161578657712
9.691760620035563,6.0971288279809865,2.5887505092629852
8.956747459879555,5.877621652004951,2.448319582615059
9.634210334047205,6.180766444804128,2.2878123869577376
9.58489503723029,6.036730614851921,2.261280002338898
9.355534757286215,6.211595181058866,1.9425307413798687
9.28625438939476,6.096306134161613,2.4048993748380694
9.692903715451555,6.389432122134988,2.2359114436452208
8.935041342277634,5.803478524027769,2.4452447596251554
9.477506009353101,6.093186619802277,2.3210599110502264
10.02915826606203,6.48487655871678,2.151058859800841
9.57358918842694,6.206181495113906,2.710559265587502
9.516221721820548,6.291397194774159,2.447073791830257
9.779326802428077,6.209343608193614,2.0459717203987555
9.545554011014804,6.248732053425433,2.3315605401715525
9.540491806392751,6.266608819474783,2.2911426381228646
9.616325663649356,6.12070862538094,2.54059249398121
9.866595349042601,6.28222371569537,2.39547628331683
10.239703240416127,6.771362364998321,2.1179060520479864
9.611868544273193,6.332359232831769,2.803242691139059
9.855422533301681,6.050497059984208,2.1648515804367943
9.002073207071218,5.893683640656139,2.454501521311765
9.584035864625765,6.164719020756162,2.456292481948166
9.520801641366461,6.266020264827173,2.3582725121583406
9.265098333140305,5.9481717826474005,2.2968223022782364
9.554078108916649,6.118997672507794,2.469660842267275
9.791645279965751,6.180981071632081,2.550409860817525
9.486945516105989,6.0843131915363955,2.0868777340492692
9.208443685588847,5.798841070028318,2.4192759255611835
9.258853950947962,6.182584584096605,2.3523485304501195
9.25208043626551,6.148901392755362,2.2732422645011487
9.209259384338012,5.895415461524729,2.394275527119981
9.548282264383706,6.233838075634005,2.270717796579643
9.010917543994651,5.9429715545613355,2.4738853446413707
9.582808980041644,5.99654305317898,2.0798399611286693
9.36609879043585,6.175687581303575,2.422578519956579
8.989586467821493,5.8334487706178875,2.5255666729179613
9.227245742100738,5.938800140620037,2.3575101583768197
10.104502438169494,6.316368916944621,2.2337063276850126
9.397047633708539,6.07752487240768,2.315100618831949
9.313569923406048,6.135967781858917,2.5882506687637417
9.652495777570127,6.284709290813977,2.4055887190554035
9.650067525800921,6.141659364815095,1.747116105597728
9.884478541640679,6.319300170921354,2.8994085981666102
9.24253156742504,5.98970994890611,2.092955241314863
9.9812927521203,6.27868584769346,2.4993300608290934
9.784564921713375,6.517494212174042,2.4496087088745724
9.342712478455606,5.961661060883367,2.394719777414908
9.420805275310792,6.0044041858609125,2.1911064305086656
9.74244009468649,6.259469016297266,2.5223283533201286
9.584180483635423,6.304627039469354,2.501068771915948
10.198100059805627,6.2971904966790575,2.27427044268119
9.731719288880551,6.208622255014843,2.171074196211851
9.67823331779875,6.527990913042418,2.3548300146652075
9.722615450268774,6.223634410835353,2.266386319716225
9.679503357795983,5.996810973212009,2.2174741517663064
9.817199515890039,6.381691574808664,2.1870694724637643
9.59801652794911,6.198277111851338,2.389962950318562
8.652550101661419,5.860337648739869,2.649805941773346
9.167021961552498,6.0359826153167395,2.454417903766003
9.89816452402938,6.314386138427808,2.417308838305945
9.683707634435759,6.027052756825771,2.6327436267890247
9.733436067416275,6.418287770097447,2.141168977486811
9.700946928159253,6.205803947001313,2.8108170448608503
9.439509325168007,6.022441792436421,2.3639035639248513
10.337920883316887,6.395015897592057,1.9584883900721075
10.096450815930677,6.464486724023768,2.629732220032192
9.537223419231296,6.20791878983407,1.96849285893783
8.65863412315177,5.664855601018541,2.52072127630923
9.589575242427557,6.129797148320888,2.3545516444411874
10.36330242091591,6.612356997387705,2.092270678141355
10.247291845922785,6.729815333222581,2.569980453569319
9.585615304318102,6.110494676051613,2.5404552593385015
9.519536272458875,6.167883846406443,2.4164924979113827
9.391194937008853,5.9198958788315945,2.061753834796378
9.469331952427655,6.103752059218572,2.3408813567301086
9.674452747714355,6.144183870393284,2.1919860888480125
9.659129224469002,6.1517182310878145,2.9406327278194864
9.441029142486991,6.273548281972359,2.5287169936880627
9.631152181317947,6.073808590491743,2.4778921797273696
9.932015881477394,6.213589428275666,2.2039986796323205
9.538512411359633,6.259558905172989,2.2093843341992745
9.05843621279644,5.888043237967423,2.1168072438345202
10.027771436827138,6.409082746845638,2.193867093758584
9.330131465970656,5.850492259298331,2.5013618874890957
9.680036224708573,6.061337728653107,2.3105709954410294
