original_bar,few_fixed_bar,abadie_semidid,modified_dmldid_without_separate,modified_dmldid_with_separate
9.863641863572727,10.913862182969016,7.076033042326707,8.885841155516045,2.1167930921939586
7.50757512510503,7.478745078112115,6.629443284906822,8.221559311053543,3.236544162184992
9.4991651789061,9.213933047628068,8.173149305395818,9.47690122708292,3.54767457705133
7.972595646544509,8.460472713777762,6.316754540156916,-0.8109581170678837,2.6962401245240546
7.838453162387536,7.718346121276744,6.262117152812569,-1.8927108544542808,6.14124823605992
9.375961324128887,9.365866101297119,7.733211117642648,-3.9049739939912804,5.592753057815152
4.949069526922422,4.898098973333601,5.553744657212164,-1.8424550455161315,3.6223530948106752
8.45203943613644,8.939550111026552,7.393204240970719,8.953916860454754,2.805001971467745
9.918635521823624,9.947938278910955,8.172250965194392,7.765628026208692,3.2054906065212383
4.814106110901609,4.967065048946956,4.909074005076829,-13.332567188093998,-0.7422125380447917
8.303844166444547,8.597555572181365,7.449973198546662,7.986768831144125,3.072284246695072
7.459775298429758,8.010107262979115,6.521917071704227,2.2292927748120093,2.713817479749606
7.907654316305477,8.558907927836643,6.338738802277998,8.353363384475404,3.212670575244654
5.598466414287057,5.80914268450469,4.376122675759717,8.985987874763698,3.595822495933117
7.169149917737537,7.468226260665034,6.53836380817139,7.752746192535222,3.262217266590253
7.003361168759046,7.210614190274413,6.523217120117273,6.758753195220292,2.9162659634481027
7.7411110499302405,8.310318515421,6.828269226596227,9.090906042958297,2.727824930220331
8.49037347921095,8.887413457258267,8.217609365625316,9.023528855536632,3.702308093088231
8.657161734013068,9.255586060468099,7.692198884125775,9.73114652034741,3.347796956008534
6.808921652946008,6.694194020575382,5.580363902936558,-2.1283930317328688,3.4510821603690394
5.505765917574768,5.45584001953022,5.864964663667562,6.043474367513501,3.7993840583430747
7.796796718617437,8.069624770462564,6.429092641780194,7.377599800248825,2.150858856871055
8.111900192782073,8.61631238110211,7.2212720657712115,-3.8398142552679824,1.6725214548598393
7.541912375134396,7.346446373484005,6.538868342662444,5.46851285521749,3.3000447942626505
6.322989351426417,6.090842504120573,5.145697307550835,8.55323581270309,3.206656322693897
9.265264465581154,9.695188981813732,8.386994529035121,8.886627613818863,3.920550565448992
7.223105938152078,7.536196604524134,0.9364900210154922,3.031666066544428,4.006074130853781
6.561146971792354,6.282170387784281,5.565325690665721,7.37661174123941,2.892987911773637
5.67166707224426,5.423225285127329,4.83952124008751,7.21757375641775,3.2264156098378463
8.586989914003453,9.79517421780588,7.39604611790515,11.169683552905482,2.338957964077113
9.50332211532083,8.730066935945148,9.530617183900635,9.090541087096934,3.571124146665677
9.474510537380738,8.831755166289897,8.02704760789472,8.957751459534137,3.1751513010412364
6.9386396952258,6.726935698275577,5.891064159088411,5.596551364990475,3.4006125580704474
8.107024780794635,7.591915538420071,5.591658833357835,-4.247614029251795,3.0566111443661783
7.230282851418803,7.4573985903536855,6.997565058087017,6.974091299962681,3.1980986622219634
7.762732174275962,6.00495470476576,7.437893308603279,4.947524330218504,2.546715797052769
8.327730309962476,8.556866984004335,7.222600778452208,21.54908879866188,3.967085146350881
8.987809667200978,9.541268563938457,7.724799285213483,9.261648834946598,2.797169877200325
7.250055426948056,7.124882919364774,5.670839318353706,8.680772330536978,3.5918834280992495
7.028844561699525,6.819796405568884,7.701174116964604,-13.830835869009704,0.42103426421267853
8.67317893645381,8.715212155995085,7.779452911726596,8.616974153630938,3.0045649339457157
7.014617644455359,7.157404932105095,6.209071985771114,5.718094676728549,3.0056998275233586
